fenotipo,acuracia
(((conv*2))*2)fc*0*128*lr-0.001,0.6409090757369995
(((conv*2)bnorm-pool-dropout)*1)fc*2*512*lr-0.001,0.699696958065033
(((conv*3)bnorm-)*1)fc*1*128*lr-0.0001,0.6324242353439331
(((conv*1)bnorm-pool-)*2)fc*0*256*lr-0.1,0.6154545545578003
(((conv*3))*3)fc*2*64*lr-0.0001,0.675151526927948
(((conv*2))*1)fc*0*128*lr-0.1,0.09272727370262146
(((conv*3)bnorm-pool-)*3)fc*0*256*lr-0.001,0.8187878727912903
(((conv*3)bnorm-pool-dropout)*2)fc*2*128*lr-0.001,0.839090883731842
(((conv*1)bnorm-pool-dropout)*3)fc*0*512*lr-0.01,0.7272727489471436
(((conv*1)bnorm-pool-dropout)*2)fc*2*64*lr-0.001,0.7145454287528992
(((conv*1))*3)fc*1*512*lr-0.01,0.09878788143396378
(((conv*1)bnorm-pool-dropout)*2)fc*1*128*lr-0.01,0.7151514887809753
(((conv*1)pool-)*2)fc*1*256*lr-0.1,0.09878788143396378
(((conv*2))*1)fc*0*256*lr-0.01,0.442727267742157
(((conv*1)pool-dropout)*3)fc*1*128*lr-0.0001,0.6569697260856628
(((conv*1)bnorm-)*1)fc*2*128*lr-0.0001,0.6124242544174194
(((conv*3))*3)fc*1*512*lr-0.001,0.6166666746139526
(((conv*2)bnorm-)*2)fc*1*256*lr-0.0001,0.6293939352035522
(((conv*3))*3)fc*2*128*lr-0.0001,0.6693939566612244
(((conv*2)pool-dropout)*1)fc*1*256*lr-0.001,0.7178787589073181
(((conv*3)bnorm-)*1)fc*0*512*lr-0.1,0.09969697147607803
(((conv*1))*1)fc*2*256*lr-0.001,0.5836363434791565
(((conv*1)bnorm-)*1)fc*1*256*lr-0.001,0.5472727417945862
(((conv*2)bnorm-pool-)*1)fc*0*512*lr-0.1,0.2612121105194092
(((conv*3)pool-)*2)fc*0*64*lr-0.0001,0.6854545474052429
(((conv*3)bnorm-)*3)fc*0*64*lr-0.1,0.09545454382896423
(((conv*2)bnorm-)*3)fc*1*256*lr-0.01,0.6203030347824097
(((conv*2)bnorm-pool-)*2)fc*1*256*lr-0.01,0.7400000095367432
(((conv*3)bnorm-)*3)fc*1*128*lr-0.001,0.685757577419281
(((conv*3)bnorm-pool-dropout)*2)fc*1*256*lr-0.0001,0.7900000214576721
(((conv*3))*3)fc*2*64*lr-0.01,0.10696969926357269
(((conv*1)pool-)*3)fc*0*64*lr-0.01,0.5915151238441467
(((conv*2)bnorm-)*3)fc*0*512*lr-0.001,0.6818181872367859
(((conv*2)bnorm-pool-)*1)fc*1*128*lr-0.0001,0.6678788065910339
(((conv*1))*2)fc*2*64*lr-0.01,0.10969696938991547
(((conv*3))*3)fc*2*64*lr-0.1,0.09939394146203995
(((conv*3)pool-dropout)*2)fc*2*512*lr-0.0001,0.7706060409545898
(((conv*1)bnorm-)*1)fc*2*256*lr-0.0001,0.6363636255264282
(((conv*2)pool-dropout)*2)fc*2*512*lr-0.001,0.7651515007019043
(((conv*1)pool-)*1)fc*2*128*lr-0.01,0.10121212154626846
(((conv*1)pool-)*2)fc*1*128*lr-0.0001,0.6724242568016052
(((conv*1)bnorm-pool-)*2)fc*2*256*lr-0.1,0.09787879139184952
(((conv*2)bnorm-)*2)fc*0*512*lr-0.1,0.4333333373069763
(((conv*2)pool-)*1)fc*2*256*lr-0.0001,0.6439393758773804
(((conv*3)bnorm-pool-dropout)*1)fc*1*512*lr-0.001,0.7587878704071045
(((conv*1)pool-)*1)fc*1*128*lr-0.0001,0.6745454668998718
(((conv*3))*2)fc*2*64*lr-0.0001,0.6572727560997009
(((conv*1))*1)fc*0*256*lr-0.1,0.09787879139184952
(((conv*3))*2)fc*1*256*lr-0.0001,0.6624242663383484
(((conv*3))*1)fc*0*512*lr-0.01,0.09969697147607803
(((conv*2))*2)fc*2*128*lr-0.1,0.09878788143396378
(((conv*3))*1)fc*0*512*lr-0.001,0.6154545545578003
(((conv*3)pool-dropout)*2)fc*1*256*lr-0.01,0.09878788143396378
(((conv*2)bnorm-)*1)fc*2*64*lr-0.001,0.5884848237037659
(((conv*3))*2)fc*2*256*lr-0.01,0.10969696938991547
(((conv*2)bnorm-pool-dropout)*1)fc*0*128*lr-0.0001,0.7093939185142517
(((conv*1)bnorm-pool-)*1)fc*1*64*lr-0.1,0.10121212154626846
(((conv*1))*2)fc*0*64*lr-0.0001,0.6406060457229614
(((conv*1)pool-)*3)fc*1*512*lr-0.0001,0.671818196773529
(((conv*3))*2)fc*1*128*lr-0.1,0.09939394146203995
(((conv*3)bnorm-pool-dropout)*1)fc*2*256*lr-0.0001,0.7030302882194519
(((conv*3)bnorm-)*2)fc*0*128*lr-0.001,0.6499999761581421
(((conv*2)bnorm-)*1)fc*1*256*lr-0.1,0.09787879139184952
(((conv*3)bnorm-)*1)fc*1*256*lr-0.01,0.5751515030860901
(((conv*3)pool-dropout)*2)fc*0*512*lr-0.01,0.09787879139184952
(((conv*3))*1)fc*1*64*lr-0.01,0.09787879139184952
(((conv*1)pool-)*2)fc*0*64*lr-0.01,0.6278787851333618
(((conv*1)pool-dropout)*1)fc*1*128*lr-0.1,0.10696969926357269
(((conv*1)bnorm-pool-dropout)*3)fc*2*64*lr-0.001,0.7481818199157715
(((conv*2))*3)fc*2*512*lr-0.1,0.09787879139184952
(((conv*1)bnorm-pool-)*3)fc*0*64*lr-0.0001,0.6563636660575867
(((conv*1)bnorm-)*1)fc*2*512*lr-0.0001,0.632121205329895
(((conv*2)bnorm-)*1)fc*2*512*lr-0.01,0.5263636112213135
(((conv*3))*1)fc*1*512*lr-0.001,0.6324242353439331
(((conv*2))*3)fc*1*128*lr-0.1,0.10696969926357269
(((conv*2)bnorm-pool-dropout)*1)fc*1*256*lr-0.01,0.6618182063102722
(((conv*1)bnorm-)*2)fc*1*64*lr-0.1,0.09939394146203995
(((conv*1)pool-dropout)*3)fc*2*512*lr-0.1,0.09575757384300232
(((conv*1))*1)fc*2*256*lr-0.01,0.09787879139184952
(((conv*1)pool-)*1)fc*0*512*lr-0.001,0.635757565498352
(((conv*1))*1)fc*1*512*lr-0.01,0.42636364698410034
(((conv*1))*1)fc*0*256*lr-0.01,0.3842424154281616
(((conv*3)bnorm-)*1)fc*2*256*lr-0.001,0.6539393663406372
(((conv*3))*2)fc*1*64*lr-0.001,0.6509090662002563
(((conv*2))*3)fc*0*64*lr-0.1,0.09939394146203995
(((conv*1)pool-)*2)fc*2*512*lr-0.01,0.5387879014015198
(((conv*2)pool-)*1)fc*2*128*lr-0.1,0.09787879139184952
(((conv*1)pool-)*1)fc*2*256*lr-0.0001,0.664545476436615
(((conv*3)pool-)*2)fc*0*128*lr-0.001,0.7375757694244385
(((conv*3)bnorm-pool-)*1)fc*2*512*lr-0.0001,0.7090908885002136
(((conv*2)bnorm-)*3)fc*2*128*lr-0.0001,0.6375757455825806
(((conv*2))*1)fc*2*256*lr-0.01,0.09272727370262146
(((conv*3))*2)fc*0*512*lr-0.1,0.09969697147607803
(((conv*3)bnorm-pool-)*1)fc*2*64*lr-0.01,0.6654545664787292
(((conv*2)bnorm-)*2)fc*2*512*lr-0.1,0.09272727370262146
(((conv*1)pool-dropout)*2)fc*1*512*lr-0.0001,0.7303030490875244
(((conv*2)pool-)*2)fc*2*64*lr-0.0001,0.7060605883598328
(((conv*1)pool-)*3)fc*2*512*lr-0.0001,0.7021211981773376
(((conv*2)pool-dropout)*3)fc*1*128*lr-0.001,0.8251515030860901
(((conv*2)bnorm-)*1)fc*2*64*lr-0.1,0.09787879139184952
(((conv*2)pool-dropout)*2)fc*1*256*lr-0.1,0.09272727370262146
(((conv*2)bnorm-)*2)fc*0*256*lr-0.1,0.35333332419395447
(((conv*2))*2)fc*0*64*lr-0.01,0.10969696938991547
(((conv*2)bnorm-pool-)*2)fc*0*512*lr-0.01,0.7275757789611816
(((conv*2))*2)fc*0*256*lr-0.001,0.6457575559616089
(((conv*3)bnorm-)*2)fc*0*64*lr-0.01,0.6318181753158569
(((conv*1)pool-)*3)fc*1*64*lr-0.0001,0.699696958065033
(((conv*2)bnorm-)*1)fc*1*128*lr-0.0001,0.6348484754562378
(((conv*2)bnorm-pool-dropout)*1)fc*2*128*lr-0.1,0.10969696938991547
(((conv*2))*2)fc*2*64*lr-0.001,0.6539393663406372
(((conv*2))*1)fc*0*64*lr-0.0001,0.6333333253860474
(((conv*3))*1)fc*2*64*lr-0.01,0.4184848368167877
(((conv*3))*3)fc*0*128*lr-0.1,0.10969696938991547
(((conv*2)bnorm-pool-dropout)*3)fc*0*64*lr-0.1,0.360909104347229
(((conv*1)bnorm-)*1)fc*0*256*lr-0.001,0.5075757503509521
